title_x,title_y,count,similarity
Zettai Kareshi,A Brand New Life,24,0.0253968253968254
Zettai Kareshi,A Chinese Fairy Tale,13,0.014238773274917854
Zettai Kareshi,A Chinese Ghost Story,18,0.01945945945945946
Zettai Kareshi,A Clear Midsummer Night,25,0.02679528403001072
Zettai Kareshi,A Company Man,97,0.08715184186882301
Zettai Kareshi,A Day With My Son,6,0.006493506493506494
Zettai Kareshi,A Different Kind of Pretty Man,13,0.014161220043572984
Zettai Kareshi,A Dirty Carnival,28,0.029319371727748688
Zettai Kareshi,A Faded Memory,26,0.027896995708154508
Zettai Kareshi,A Frozen Flower,236,0.17905918057663125
Zettai Kareshi,A Game about Love,47,0.05092091007583965
Zettai Kareshi,A Gentle Breeze in the Village,15,0.016465422612513717
Zettai Kareshi,A Gentleman's Dignity,361,0.2129793510324484
Zettai Kareshi,A Girl & Three Sweethearts,87,0.08223062381852551
Zettai Kareshi,A Girl at My Door,13,0.013641133263378805
Zettai Kareshi,A Good Day to Have an Affair,43,0.0446985446985447
Zettai Kareshi,A Hard Day,15,0.015432098765432096
Zettai Kareshi,A Hundred Year's Inheritance,37,0.03714859437751004
Zettai Kareshi,A Love Song For You,24,0.02569593147751606
Zettai Kareshi,A Love To Kill,150,0.1323918799646955
Zettai Kareshi,A Man Called God,38,0.03909465020576132
Zettai Kareshi,A Man and A Woman,14,0.01497326203208556
Zettai Kareshi,A Man who was Superman,27,0.02797927461139896
Zettai Kareshi,A Man's Story,42,0.043478260869565216
Zettai Kareshi,A Midsummer's Equation,15,0.016393442622950817
Zettai Kareshi,A Million,61,0.060276679841897225
Zettai Kareshi,A Millionaire on the Run,10,0.010869565217391304
Zettai Kareshi,A Millionaire's First Love,437,0.2645278450363196
Zettai Kareshi,A Moment Of Love,14,0.015233949945593038
Zettai Kareshi,A Moment to Remember,231,0.16348195329087048
Zettai Kareshi,A New Leaf,34,0.034343434343434336
Zettai Kareshi,A Perfect Match,50,0.0511770726714432
Zettai Kareshi,A Round Trip to Love,9,0.009782608695652176
Zettai Kareshi,A Sleeping Forest,36,0.0390032502708559
Zettai Kareshi,A Story of Yonosuke,18,0.019334049409237383
Zettai Kareshi,A Tale Of Samurai Cooking - A True Love Story,14,0.015384615384615384
Zettai Kareshi,A Tale of Two Sisters,131,0.11244635193133047
Zettai Kareshi,A Thousand Days' Promise,37,0.03763987792472025
Zettai Kareshi,A Thousand Kisses,41,0.04166666666666666
Zettai Kareshi,A Violent Prosecutor,15,0.015822784810126583
Zettai Kareshi,A Wedding Invitation,29,0.030366492146596855
Zettai Kareshi,A Werewolf Boy,457,0.2164850781620085
Zettai Kareshi,AM 11:00,9,0.00974025974025974
Zettai Kareshi,APT,19,0.02051835853131749
Zettai Kareshi,ATARU Special～Challenge from New York!～,25,0.0274423710208562
Zettai Kareshi,ATARU The First Love & The Last Kill ,15,0.01641137855579869
Zettai Kareshi,ATM: Er Rak Error,21,0.02226935312831389
Zettai Kareshi,Abarenbo Mama,22,0.024255788313120176
Zettai Kareshi,About Love,28,0.029598308668076112
Zettai Kareshi,Absolute Boyfriend,109,0.10738916256157637
Zettai Kareshi,Acacia,14,0.015151515151515154
Zettai Kareshi,Ace Attorney,56,0.05815160955347873
Zettai Kareshi,Ace wo Nerae!,30,0.03225806451612903
Zettai Kareshi,Acoustic,51,0.05209397344228805
Zettai Kareshi,Addicted,38,0.03946002076843198
Zettai Kareshi,Addicted Heroin,45,0.04509018036072145
Zettai Kareshi,Adrift in Tokyo,14,0.015250544662309368
Zettai Kareshi,Advertising Genius Lee Tae Baek,46,0.04651162790697674
Zettai Kareshi,Afro Tanaka,41,0.04385026737967915
Zettai Kareshi,After Life,9,0.00980392156862745
Zettai Kareshi,After School: Lucky or Not,102,0.09247506799637352
Zettai Kareshi,After School: Lucky or Not 2,26,0.0273972602739726
Zettai Kareshi,After The Flowers,14,0.015334063526834609
Zettai Kareshi,Aftermath,78,0.07235621521335807
Zettai Kareshi,Aftermath Season 2,46,0.046184738955823285
Zettai Kareshi,Aftershock,28,0.028717948717948718
Zettai Kareshi,Age of Youth,98,0.08052588331963846
Zettai Kareshi,Ai No Kotodama,91,0.091
Zettai Kareshi,Ai no kotodama 2: Sekai no Hate Made,42,0.0440251572327044
Zettai Kareshi,Ai wa Mieru,16,0.017334777898158182
Zettai Kareshi,Aim High,11,0.012021857923497269
Zettai Kareshi,Air City,18,0.01962922573609597
Zettai Kareshi,Air Doll,51,0.053069719042663895
Zettai Kareshi,Aishiteiru to Ittekure,28,0.03027027027027027
Zettai Kareshi,Aishiteru,24,0.02591792656587473
Zettai Kareshi,Akai Ito,175,0.16908212560386476
Zettai Kareshi,Akihabara at Deep,31,0.03354978354978355
Zettai Kareshi,Akko's Secret,81,0.08367768595041322
Zettai Kareshi,Akumu-Chan,118,0.12004069175991862
Zettai Kareshi,Akumu-Chan Special,21,0.02297592997811816
Zettai Kareshi,Akuryo Byoutou,20,0.021621621621621626
Zettai Kareshi,Alchemist,14,0.014659685863874347
Zettai Kareshi,Algernon ni Hanataba o,74,0.07628865979381444
Zettai Kareshi,Alice in Liar Game,40,0.04282655246252677
Zettai Kareshi,Alice in Wonder City,46,0.047325102880658436
Zettai Kareshi,Alice no Toge,49,0.051201671891327065
Zettai Kareshi,Alice: Boy from Wonderland,17,0.01804670912951168
Zettai Kareshi,All About Eve,37,0.0383419689119171
Zettai Kareshi,All About Lily Chou Chou,35,0.03747323340471092
Zettai Kareshi,All About My Mom,15,0.015560165975103738
Zettai Kareshi,All About My Romance,60,0.058195926285160036
Zettai Kareshi,All About My Wife,85,0.07988721804511277
Zettai Kareshi,All Esper Dayo!,15,0.016322089227421108
Zettai Kareshi,All In,24,0.02545068928950159
Zettai Kareshi,All-Round Appraiser Q: Mona Lisa’s Eye,13,0.01414581066376496
Zettai Kareshi,Almost Love,112,0.10831721470019344
Zettai Kareshi,Alone,22,0.024043715846994537
Zettai Kareshi,Alone In Love,17,0.018338727076591156
Zettai Kareshi,Always,286,0.1784154709918902
Zettai Kareshi,Amachan,21,0.022702702702702703
Zettai Kareshi,Amphetamine,13,0.014192139737991268
Zettai Kareshi,An Actor is an Actor,84,0.08007626310772165
Zettai Kareshi,An Assassin,17,0.018418201516793062
Zettai Kareshi,An Empress and the Warriors,6,0.006507592190889371
Zettai Kareshi,Ando Lloyd - A.I. Knows Love ?,87,0.09043659043659044
Zettai Kareshi,Anego,187,0.1879396984924623
Zettai Kareshi,Angel Eyes,103,0.0867003367003367
Zettai Kareshi,Angel Heart,11,0.012048192771084338
Zettai Kareshi,Angel's Revenge,10,0.010822510822510822
Zettai Kareshi,Angry Mom,185,0.13405797101449274
Zettai Kareshi,Anmitsu Hime,30,0.03282275711159737
Zettai Kareshi,Anna-san no Omame,26,0.028697571743929364
Zettai Kareshi,Anohana: The Flower We Saw That Day,33,0.03462749213011543
Zettai Kareshi,Another,33,0.03391572456320658
Zettai Kareshi,Another Gantz,34,0.03667745415318231
Zettai Kareshi,Another Miss Oh,175,0.1293422025129342
Zettai Kareshi,Another Parting,73,0.0666058394160584
Zettai Kareshi,Answer ~ Keishichou Kenshou Sousakan,24,0.026143790849673203
Zettai Kareshi,Antique,38,0.04157549234135667
Zettai Kareshi,Antique Bakery,375,0.257201646090535
Zettai Kareshi,Ao to Shiro de Mizuiro,22,0.023991275899672846
Zettai Kareshi,Aoi Honoo,11,0.012048192771084338
Zettai Kareshi,Aozora no Tamago,11,0.012008733624454149
Zettai Kareshi,Apartment 1303,23,0.025027203482045703
Zettai Kareshi,Apple in Your Eye,24,0.025945945945945945
Zettai Kareshi,April Bride,32,0.0350109409190372
Zettai Kareshi,April Fools,33,0.03567567567567568
Zettai Kareshi,April Snow,37,0.03779366700715015
Zettai Kareshi,Aquarian Age,18,0.01975850713501646
Zettai Kareshi,Aquarium Girl,11,0.012035010940919038
Zettai Kareshi,Arahan,30,0.03164556962025317
Zettai Kareshi,Arakawa Under The Bridge,37,0.039699570815450634
Zettai Kareshi,Arang,26,0.02771855010660981
Zettai Kareshi,Arang and the Magistrate,329,0.2208053691275168
Zettai Kareshi,Arch Angels,10,0.010940919037199123
Zettai Kareshi,Architecture 101,127,0.1097666378565255
Zettai Kareshi,Arifureta Kiseki,8,0.008620689655172414
Zettai Kareshi,Armour of God,10,0.010869565217391304
Zettai Kareshi,Armour of God II: Operation Condor,8,0.008714596949891068
Zettai Kareshi,Around 40,29,0.03152173913043478
Zettai Kareshi,Art of Fighting,11,0.011969532100108813
Zettai Kareshi,As One,88,0.07942238267148015
Zettai Kareshi,As the Gods Will,63,0.06182531894013739
Zettai Kareshi,Ashita No Joe,76,0.07991587802313355
Zettai Kareshi,"Ashita, Mama ga Inai",43,0.0452155625657203
Zettai Kareshi,Assassination,12,0.012684989429175477
Zettai Kareshi,Assassination Classroom,62,0.06358974358974359
Zettai Kareshi,Assassination Classroom: Graduation,17,0.018378378378378375
Zettai Kareshi,Assembly,10,0.010752688172043013
Zettai Kareshi,Assorted Gems,14,0.015021459227467813
Zettai Kareshi,Asuko March!,227,0.20432043204320435
Zettai Kareshi,At Dolphin Bay,38,0.04025423728813559
Zettai Kareshi,At Home Dad,21,0.02292576419213974
Zettai Kareshi,Atami no Sousakan,24,0.026115342763873776
Zettai Kareshi,Ataru,71,0.07442348008385745
Zettai Kareshi,Atashinchi no Danshi,486,0.3524292965917332
Zettai Kareshi,Athena: Goddess of War,51,0.051256281407035184
Zettai Kareshi,Attack No.1,21,0.02275189599133261
Zettai Kareshi,Attack on Titan,103,0.09440879926672777
Zettai Kareshi,Attack on Titan: End Of The World,36,0.03769633507853403
Zettai Kareshi,Attack on the Pin-Up Boys,267,0.2119047619047619
Zettai Kareshi,Attack the Gas Station!,21,0.022532188841201718
Zettai Kareshi,Attack the Gas Station! 2,19,0.020474137931034482
Zettai Kareshi,Attention Please,191,0.18597857838364168
Zettai Kareshi,Attention Please 2007,69,0.07255520504731862
Zettai Kareshi,Attention Please 2008,62,0.06616862326574173
Zettai Kareshi,Attic Cat,71,0.0720081135902637
Zettai Kareshi,Audition,29,0.03014553014553015
Zettai Kareshi,Autumn Tale,140,0.12313104661389622
Zettai Kareshi,Autumn's Concerto,294,0.20502092050209209
Zettai Kareshi,Awaiting,12,0.012738853503184714
Zettai Kareshi,Awl,15,0.015822784810126583
Zettai Kareshi,Azooma,13,0.014176663031624863
Zettai Kareshi,Azumi,108,0.10789210789210787
Zettai Kareshi,Azumi 2: Death or Love,77,0.07971014492753623
Zettai Kareshi,BORDER,105,0.1031434184675835
Zettai Kareshi,BOSS,90,0.09081735620585267
Zettai Kareshi,BOSS 2,54,0.05648535564853556
Zettai Kareshi,Babo: Miracle of a Giving Fool,81,0.07795957651588066
Zettai Kareshi,Baby & I,495,0.2681473456121343
Zettai Kareshi,Baby-faced Beauty,185,0.16171328671328672
Zettai Kareshi,Babysitter,7,0.0076335877862595426
Zettai Kareshi,Bachelor's Vegetable Store,64,0.06349206349206349
Zettai Kareshi,Back to 1989,25,0.02685284640171858
Zettai Kareshi,Back to 20,53,0.052011776251226695
Zettai Kareshi,Bad Boys J,56,0.058638743455497376
Zettai Kareshi,Bad Boys J The Movie,14,0.015283842794759825
Zettai Kareshi,Bad Couple,54,0.05648535564853556
Zettai Kareshi,Bad Family,55,0.0560081466395112
Zettai Kareshi,Bad Girls,101,0.097678916827853
Zettai Kareshi,Bad Guy,178,0.15226689478186484
Zettai Kareshi,Bad Guys,161,0.12087087087087088
Zettai Kareshi,Bad Love,51,0.05274043433298863
Zettai Kareshi,Badges Of Fury,9,0.00980392156862745
Zettai Kareshi,Baek Hee Has Returned,19,0.020063357972544882
Zettai Kareshi,Bakuman.,60,0.061855670103092786
Zettai Kareshi,Bambino!,104,0.10754912099276112
Zettai Kareshi,Bandage,174,0.1694255111976631
Zettai Kareshi,Bangkok Traffic Love Story,35,0.037037037037037035
Zettai Kareshi,Bara no nai Hanaya,90,0.0932642487046632
Zettai Kareshi,Barairo no Seisen,15,0.01641137855579869
Zettai Kareshi,Barbie,21,0.022388059701492536
Zettai Kareshi,Bartender,53,0.0572972972972973
Zettai Kareshi,Basketball,15,0.016094420600858368
Zettai Kareshi,Battery,21,0.023026315789473683
Zettai Kareshi,Battle Royale,264,0.20323325635103925
Zettai Kareshi,Battle Royale II: Requiem,113,0.1101364522417154
Zettai Kareshi,Battle of Changsha,30,0.031413612565445025
Zettai Kareshi,Be Arrogant,36,0.03625377643504532
Zettai Kareshi,Be Crazy About Me,134,0.12909441233140656
Zettai Kareshi,Be Strong Geum Soon,13,0.014099783080260303
Zettai Kareshi,Be With Me,20,0.02155172413793104
Zettai Kareshi,Be with You,39,0.04092339979013642
Zettai Kareshi,Beach Boys,23,0.025164113785557992
Zettai Kareshi,Beautiful,38,0.040511727078891266
Zettai Kareshi,Beautiful Days,20,0.021321961620469083
Zettai Kareshi,Beautiful Gong Shim,111,0.08966074313408724
Zettai Kareshi,Beautiful Life,80,0.08385744234800839
Zettai Kareshi,Beautiful Love,43,0.04579339723109691
Zettai Kareshi,Beautiful Mind,90,0.0749375520399667
Zettai Kareshi,Beautiful Rain ,19,0.02058504875406284
Zettai Kareshi,Beautiful Secret,17,0.01808510638297872
Zettai Kareshi,Because It's The First Time,46,0.04427333974975938
Zettai Kareshi,Beck,208,0.19312906220984216
Zettai Kareshi,Bedevilled,29,0.029989658738366082
Zettai Kareshi,Beethoven Virus,126,0.11965811965811965
Zettai Kareshi,Before and After: Plastic Surgery Clinic,17,0.018558951965065504
Zettai Kareshi,Beginners!,58,0.06124604012671595
Zettai Kareshi,Beloved,15,0.016286644951140062
Zettai Kareshi,Best Time,17,0.01847826086956522
Zettai Kareshi,Best Wedding,69,0.06865671641791045
Zettai Kareshi,Bestseller,35,0.03604531410916581
Zettai Kareshi,Better Man,9,0.009782608695652176
Zettai Kareshi,Beyond the Realm of Conscience,13,0.014008620689655173
Zettai Kareshi,Biblia Koshodou no Jiken Techou,47,0.049630411826821534
Zettai Kareshi,Big,373,0.2313895781637717
Zettai Kareshi,Big Man,51,0.05019685039370079
Zettai Kareshi,Big Match,7,0.007534983853606028
Zettai Kareshi,Binbo Danshi,86,0.0904311251314406
Zettai Kareshi,Birdie Buddy,40,0.04197271773347324
Zettai Kareshi,Birth Secret,30,0.03177966101694915
Zettai Kareshi,Birth of a Beauty,174,0.1408906882591093
Zettai Kareshi,Biscuit Teacher and Star Candy,145,0.13266239707227814
Zettai Kareshi,Bitter Blood,129,0.12067352666043032
Zettai Kareshi,Black & White,72,0.07302231237322515
Zettai Kareshi,Black Butler,173,0.1569872958257713
Zettai Kareshi,Black Mask,15,0.016233766233766232
Zettai Kareshi,Black President,11,0.012021857923497269
Zettai Kareshi,Blackboard - Jidai to Tatakatta Kyoshi tachi,19,0.02083333333333333
Zettai Kareshi,Blade Man,64,0.06118546845124283
Zettai Kareshi,Blades of Blood,9,0.00974025974025974
Zettai Kareshi,Bleak Night,25,0.02587991718426501
Zettai Kareshi,Blind,164,0.1263482280431433
Zettai Kareshi,Blind Detective,6,0.0064724919093851144
Zettai Kareshi,Blood,120,0.09237875288683604
Zettai Kareshi,Blood Rain,12,0.013071895424836602
Zettai Kareshi,Blood and Ties,22,0.02244897959183673
Zettai Kareshi,Blood: The Last Vampire,50,0.05070993914807302
Zettai Kareshi,Bloody Monday,317,0.25400641025641024
Zettai Kareshi,Bloody Monday 2,228,0.20466786355475766
